id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
1,5.59,14.91,13.69,6.45,12.11,28.79,32.4,0.06,0.09,0.04,0.04,0.69,-8.34,6.06,0.94,0.63,10.3,-10.42,0.51,0.69,23.12,0.64,0.76,-0.79,0.68,0.54,0.02,0.59,P
2,4.81,16.87,6.58,11.59,17.25,40.4,56.59,0.04,0.06,0.05,0.05,8.66,-4.56,6.69,0.8,0.62,9.22,2.26,0.55,1.32,2.34,0.52,0.49,-1.27,1.39,-0.11,0.02,0.62,P
3,5.36,13.81,8.25,8.77,14.82,32.42,61.74,0.03,0.06,0.07,0.05,1.07,-5.22,3.33,0.67,0.52,4.69,12.99,0.54,-0.69,-2.24,0.37,0.47,-0.74,2.03,0.58,0.01,0.56,P
4,6.1,73.66,6.41,11.14,37.36,38.26,55.93,0.04,0.19,0.06,0.04,2.39,-29.62,8.46,0.78,0.57,40.87,57.04,0.45,1.5,2.44,0.4,0.44,-0.28,0.43,0.77,0.02,0.65,P
5,-2,16.41,8.51,7.07,30.95,50.22,39.52,0.05,0.05,0.04,0.03,2,5.82,5.04,1.13,0.54,69.2,57.43,0.53,1.88,7.72,0.42,0.5,-1.12,0.91,0.71,0.01,0.65,P
6,12.34,16.4,7.97,7.7,33.18,31.36,30.71,0.05,0.07,0.08,0.05,1.01,-2.73,-59.76,0.84,0.58,12.96,-21.15,0.56,0.8,17.02,0.6,0.64,-1.12,1.4,0.02,0.01,0.52,P
7,6.75,22.31,10.19,9.39,21.56,86.33,48.58,0.09,0.05,0.06,0.04,0.75,-21.66,-56.67,0.67,0.55,-26.83,17.65,0.55,1.34,4.26,0.49,0.55,-0.57,0.82,0.41,0.02,0.61,P
8,10.22,21.79,11.5,15.6,18.87,33.94,32.36,0.07,0.12,0.04,0.05,0.95,-6.72,4.03,0.69,0.66,5.41,3.06,0.56,1.45,1.52,0.43,0.51,-0.7,1.04,0.41,0.03,0.03,P
9,-0.7,35.89,8.24,8.7,24.75,104.28,105.78,0.06,0.17,0.04,0.04,0.33,-43.66,2.63,1.01,0.52,3.97,-9.8,0.49,1.33,3.35,0.47,0.45,-0.23,0.59,0.55,0.02,0.63,P
10,5.6,95.03,7.27,13.36,24.62,41.53,51.37,0.05,0.05,0.08,0.06,0.5,-35.46,6.45,0.8,0.5,159.83,-3.19,0.48,1.43,4.46,0.45,0.45,-0.64,1.15,0.62,0.02,0.55,P
11,5.06,10.65,8.24,9.3,23.35,20.63,29.15,0.05,0.04,0.03,0.04,1.07,-2.31,5.87,0.88,0.64,4.84,16.49,0.54,-0.89,0.15,0.4,0.56,-0.83,1.57,0.09,0.01,0.57,P
12,5.46,25.88,12.17,8.45,18.09,78.02,87.92,0.05,0.06,0.04,0.05,0.57,-17.54,7.67,0.75,0.55,10.75,-6.11,0.53,-0.56,-1.95,0.4,0.49,-0.4,0.8,0.52,0.02,0.58,P
13,5.47,16.76,11.26,10.45,20.13,66.96,97.8,0.06,0.04,0.04,0.04,1.15,-4.06,5.11,1.06,0.58,6.89,3.14,0.54,-0.82,-0.67,0.31,0.59,-1.21,1.89,0.49,0.02,0.62,P
14,4.87,30.57,7.25,8.06,11.45,36.51,36.07,0.04,0.03,0.14,0.05,1.58,-3.59,4.86,0.94,0.56,4.23,6.87,0.53,1.18,5.96,0.44,0.51,-0.65,1.23,0.55,0.01,0.64,P
15,4.64,33.63,10.6,9.61,11.73,25.89,20.88,0.04,0.05,0.05,0.04,0.58,-7.38,12.21,0.9,0.61,10.99,-9.99,0.5,1.54,3.51,0.45,0.51,-0.18,0.6,0.53,0.02,0.62,P
16,-2.49,15.99,9.27,10.23,20.13,29.68,76.61,0.05,0.04,0.06,0.06,0.77,-10.63,-25.39,1.01,0.5,55.08,-4.78,0.49,1.95,9.04,0.48,0.41,-0.89,1.01,0.61,0.02,0.59,P
17,13.19,16.84,12.07,9.32,7.96,38.97,35.17,0.07,0.07,0.06,0.07,1.05,-3.09,-12.59,0.43,0.56,14.37,-3.33,0.53,1.54,2.45,0.46,0.56,-0.77,1.53,0.35,0.01,0.37,P
18,4.66,13.23,28.98,16.82,18.82,41.6,74.06,0.06,0.07,0.06,0.07,0.69,-3.37,-3.22,0.61,0.54,-18.34,-1.37,0.43,0.29,-9.73,0.26,0.35,-0.58,1.5,0.72,0.02,0.55,P
19,6.69,16.03,14.98,17.7,18.26,51.74,44.45,0.04,0.03,0.06,0.05,0.93,-7.42,3.31,0.87,0.5,13.99,-106.77,0.39,-0.84,-1.12,0.42,0.58,-1,2.24,0.35,0.02,0.62,P
20,14.66,24.59,15.49,6.36,27.25,46.84,42.42,0.13,0.05,0.04,0.06,0.76,129.17,12.39,0.9,0.52,-29.09,-5.18,0.48,1.33,5.18,0.46,0.58,-0.87,0.63,0.33,0.02,0.63,P
21,13.68,15.19,14.33,17.79,31.1,37.87,38.93,0.04,0.16,0.04,0.08,1.17,-3.02,12.78,0.67,0.61,19,-4.86,0.55,1.57,2.52,0.42,0.58,-0.76,1.44,0.66,0.01,0.52,P
22,5.12,19.15,8.69,13.72,19.16,49.36,76.44,0.05,0.13,0.13,0.13,1.06,-2.51,2.87,2.33,0.61,6.21,-1.85,0.27,1.81,4.55,0.45,0.64,1,0.55,0.49,0.02,0.58,P
23,6.78,21.44,41.18,7.05,41.53,26.27,26.4,0.07,0.14,0.08,0.12,0.46,-13.01,18.27,1.26,0.41,9.37,-1.16,0.45,-3.13,5.98,0.41,0.56,-0.54,1.59,0.92,0.01,0.41,P
24,3.37,11.26,10,10.07,30.6,82.05,55.96,0.05,0.03,0.06,0.05,2.05,-4.06,141.93,0.42,0.58,11.1,10.39,0.53,-1.13,1.5,0.39,0.59,-1.17,1.76,0.41,0.02,0.62,P
25,5.7,33.89,8.14,9.4,15.21,86.73,47.97,0.07,0.05,0.05,0.08,0.71,-10.61,19.45,0.97,0.46,10.84,-3.82,0.48,1.12,14.01,0.56,0.58,-0.73,0.66,0.55,0.01,0.57,P
26,5.75,17.29,7.18,5.75,18.34,29.52,29.23,0.04,0.03,0.03,0.06,7.33,-13.97,4.12,1.02,0.64,11.67,5.06,0.55,1.52,-1.25,0.4,0.54,-1.58,0.93,0.56,0.02,0.64,P
27,5.62,27.57,19.02,9.61,23.16,37.58,34.18,0.06,0.07,0.03,0.04,0.54,-2.59,5.63,0.94,0.5,3.47,10.54,0.48,-1.56,7.19,0.4,0.42,-0.93,0.34,0.62,0.02,0.59,P
28,16.28,18.43,7.15,7.46,22.11,97.12,125.08,0.06,0.04,0.06,0.07,2.21,-2.54,14.24,0.79,0.59,30.02,-148.89,0.58,1.67,4.75,0.44,0.59,-0.77,1.04,0.21,0.01,0.52,P
29,5.97,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.04,0.04,0.05,0.07,0.01,42.96,0.84,0.04,63.2,-0.85,0.24,2.21,5.27,0.46,0.47,1.26,0.4,0.47,0.01,0.46,P
30,6.92,26.47,7.14,8.4,14.97,29.87,26.1,0.08,0.04,0.08,0.19,0.62,36.15,24.6,1.06,0.53,-319.94,-18.17,0.52,1.33,12.15,0.66,0.33,-0.8,1.12,0.22,0.02,0.62,P
31,3.35,14.6,6.58,9.84,42.66,99.72,90.58,0.04,0.06,0.04,0.03,0.93,-3.17,4.71,0.67,0.57,3.7,-50.07,0.56,-0.42,-5.11,0.4,0.5,-0.54,0.45,0.4,0.01,0.43,P
32,6.4,11.08,9.71,6.03,16.28,34.34,36.77,0.03,0.04,0.05,0.07,1.01,-2.79,4.29,1.04,0.49,4.37,9.62,0.36,-1.38,3.63,0.39,0.64,-1.32,0.32,0.31,0.01,0.63,P
33,3.28,17.83,7.74,9.14,33.72,48.39,38.95,0.04,0.05,0.05,0.11,0.59,11.43,-6.79,0.65,0.48,-7.43,-2.98,0.49,0.95,5.22,0.51,0.44,-0.63,1.37,-0.01,0.02,0.56,P
34,4.97,27.13,10.14,13.31,15.54,31.32,35.12,0.04,0.14,0.19,0.1,2.72,-2.48,-9.82,0.17,0.6,18868.5,14.82,0.53,-0.91,-1.94,0.33,0.45,-0.94,1.83,0.49,0.02,0.61,P
35,13.16,18.93,7.54,9.97,20.64,249.13,81.59,0.03,0.03,0.04,0.04,3.78,-1.04,2.95,1.16,0.5,1.88,1.64,0.56,-1.05,0.49,0.42,0.6,-0.4,1.69,0.07,0.01,0.61,P
36,4.89,8.32,8.99,12.57,16.48,34.31,36.97,0.04,0.07,0.05,0.04,1.27,-1.82,5.02,0.8,0.57,3.14,3.67,0.61,0.4,26.48,0.59,0.57,-0.25,0.89,0.49,0.02,0.61,P
37,2.57,20.34,7.12,11.44,24.87,50.24,64.91,0.03,0.05,0.04,0.06,0.83,-8.89,37.52,0.83,0.61,-21.09,-202.67,0.54,1.97,9.95,0.43,0.58,-1.02,1.6,0.63,0.02,0.63,P
