id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
1,15.35,13.06,9.08,7.15,18.86,34.99,38.64,0.03,0.05,0.04,0.07,6.34,-3.39,5.25,0.76,0.61,7.81,4.01,0.54,-0.31,-3.41,0.33,0.6,-1.59,0.7,0.33,0.02,0.62,P
2,4.76,17.69,8.92,7.83,16.28,30.32,48.26,0.06,0.04,0.03,0.04,0.68,-2.82,4.5,0.94,0.53,3.29,4.19,0.58,-0.9,-1.73,0.39,0.5,-0.83,0.65,0.27,0.01,0.63,P
3,15.51,21.45,7.83,9.29,17.95,34.48,35.05,0.05,0.05,0.04,0.03,0.7,-1.87,3.78,0.84,0.55,2.64,17.64,0.52,1.4,0.91,0.46,0.48,-0.19,1.54,0.24,0.02,0.58,P
4,7.03,43.15,6.15,10.3,25.39,42.29,31.73,0.04,0.04,0.06,0.09,0.73,-6.12,2.84,1.12,0.54,3.65,-11.68,0.57,-1.1,0.45,0.42,0.43,-1.2,1.39,0.62,0.01,0.46,P
5,4.9,17.59,7.78,11.99,19.38,43.01,56.11,0.04,0.04,0.07,0.04,0.71,-7.13,2.9,1.25,0.54,4.24,3.5,0.55,1.16,5.4,0.47,0.46,-1.01,1.53,0.67,0.02,0.63,P
6,3.14,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.05,0.04,0.03,0.14,5.97,7.22,1.2,0.4,7.92,-2.93,0.32,1.69,4.51,0.5,0.59,0.37,0.26,0.31,0.01,0.64,P
7,6.32,39.53,7.93,6.92,38.05,64.26,167.83,0.08,0.04,0.04,0.04,0.39,-9.47,42.6,0.89,0.54,11.56,-3.68,0.48,-0.54,-2.55,0.38,0.67,-0.39,0.52,0.73,0.02,0.64,P
8,15.91,11.52,8.84,13.86,64.69,93.45,151.49,0.07,0.05,0.04,0.05,0.59,-143.78,7.82,0.66,0.53,8.5,57.45,0.52,1.67,3.69,0.48,0.56,-0.31,1.04,0.33,0.02,0.61,P
9,-0.2,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.05,0.04,0.13,2.95,7.74,0.46,0.38,7.53,-1.63,0.4,1.81,4.47,0.45,0.58,0.45,0.48,0.78,0.01,0.63,P
10,15.37,12.81,25.11,8.66,11.89,63.43,34.51,0.11,0.04,0.04,0.05,0.39,-1.89,69.89,1,0.58,5.17,-18.02,0.5,1.12,5.92,0.54,0.59,-0.36,1.36,0.24,0,0.53,P
11,5.97,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.04,0.08,0.07,0.34,-22.42,0.75,0.07,-23.96,-0.73,0.31,-0.49,-1.09,0.08,0.39,0.81,0.53,0.3,0.02,0.63,P
12,-0.98,17.59,32.11,7.59,30.53,22.27,19.49,0.07,0.06,0.06,0.19,0.37,-3.44,-67.94,0.79,0.58,7.52,-5.51,0.49,1.67,11.66,0.51,0.65,-0.21,0.47,0.53,0.02,0.61,P
13,-1.16,17.08,10.91,6.14,33.09,116.18,193.34,0.03,0.06,0.09,0.06,2.19,-17.49,3.98,1.28,0.55,16.47,30.59,0.53,1.6,11.32,0.5,0.57,-0.7,0.82,0.35,0.01,0.62,P
14,13,23.91,9.01,12.88,21.15,45.31,32.71,0.05,0.06,0.03,0.04,1.89,-3.06,2.41,0.71,0.52,3.89,3.26,0.52,1.28,4.88,0.45,0.63,-0.36,1.3,0.11,0.02,0.61,P
15,5.6,27.91,14.55,13.05,23.23,56.32,37.29,0.07,0.13,0.05,0.06,0.58,122645215205099664,1.08,0.52,0.6,3.63,-3.72,0.39,-1.08,1.82,0.39,0.68,0.26,0.55,0.57,0.01,0.58,P
16,4.16,26.59,10.36,14.77,16,38.66,51.91,0.14,0.03,0.08,0.05,0.47,-19.59,7.78,0.67,0.59,17.32,-5.59,0.52,-0.86,0.63,0.37,0.56,-0.31,0.82,0.61,0.02,0.64,P
17,5.11,13.91,17.9,12.96,19.86,63.28,106.95,0.05,0.06,0.04,0.03,2.09,-1.84,1.26,0.98,0.57,1.71,1.98,0.45,-0.05,-6.32,0.4,0.36,-0.48,1.8,-0.03,0.01,0.59,P
18,5.57,27.87,8.86,8.1,57.61,540.52,415.05,0.13,0.05,0.04,0.06,1.06,-15.27,4.59,1.26,0.48,5.99,-1.77,0.44,1.09,14.56,0.53,0.39,-0.14,0.84,0.86,0.02,0.57,P
19,5.4,11.4,10.05,14.46,9.96,41.44,97.75,0.04,0.05,0.07,0.07,0.38,-5.19,-14.85,0.81,0.57,9.3,-2.69,0.49,1.39,0.69,0.46,0.5,-0.44,1.33,0.37,0.01,0.57,P
20,4.16,10.75,7.83,11.31,24.03,27.71,35.98,0.04,0.04,0.05,0.05,1.07,-2.32,9.46,0.54,0.64,5.11,3.48,0.54,-1.37,5.46,0.4,0.52,-0.86,1.67,0.56,0.01,0.64,P
21,12.78,22.88,32.87,36.3,26,100.31,128.8,0.11,0.06,0.06,0.06,0.21,-2.87,13.92,1.32,0.5,3.65,-2.92,0.39,0.02,-4.71,0.31,0.39,0.31,1.03,0.24,0.01,0.61,P
22,3.39,9.79,10.81,7.11,26.79,25.42,23.44,0.07,0.06,0.06,0.04,1.87,-4.26,1.6,1.62,0.59,3.72,6.32,0.58,-0.67,-2.11,0.38,0.59,-0.79,1.41,0.31,0.01,0.63,P
23,5.32,18.96,7.31,9.38,13.85,47.52,156.23,0.05,0.04,0.04,0.05,0.79,-20.09,-24.85,0.48,0.57,-9.59,39.69,0.53,2.33,8.58,0.47,0.47,-1.11,1.08,0.15,0.02,0.57,P
24,5.37,12.75,7.62,7.1,13.7,45.62,46.01,0.05,0.03,0.04,0.04,0.55,-2.7,2.29,1.46,0.54,2.8,3.57,0.45,-1.14,3.96,0.28,0.59,-0.83,0.4,0.13,0.01,0.61,P
25,-0.99,104.86,8.5,9.91,19.41,45.5,47.28,0.04,0.05,0.05,0.05,1,-3.16,5.56,1.33,0.59,4.88,46.09,0.49,-0.86,0.16,0.27,0.58,-0.86,0.4,0.54,0.02,0.62,P
26,6.64,79.98,8.3,17.94,15.29,377.09,328.1,0.03,0.04,0.06,0.05,1.05,59.04,26.47,0.58,0.49,203.52,-3.69,0.52,1.29,3.31,0.53,0.5,-0.84,1.27,0.35,0.01,0.39,P
27,3.95,259.26,18.49,333.33,217.32,466.67,466.67,0.19,0.07,0.11,0.07,0.27,120.95,9.17,0.75,0.5,8.05,-2,0.46,1.88,9.68,0.44,0.49,0.16,1.1,0.89,0.02,0.64,P
28,4.71,11.33,7.59,9.34,13.84,85.66,76.58,0.04,0.04,0.1,0.21,0.47,-4.51,2.81,1.39,0.59,3.94,-15.21,0.46,1.25,1.82,0.46,0.52,-0.32,1.58,0.04,0,0,P
29,6.16,21.25,6.6,7.44,27.04,29.18,27.92,0.04,0.05,0.1,0.09,7,-2.6,3.26,1.26,0.54,4.39,-14.28,0.63,-1.4,5.23,0.39,0.63,-0.72,1.18,0.88,0.01,0.45,P
30,4.58,37.69,7.24,7.42,40.75,79.81,64.71,0.05,0.05,0.05,0.04,-19.88,3.99,3.19,1.23,0.57,-11.01,-4.22,0.54,-1.13,2.21,0.4,0.55,-0.6,0.64,1.22,0.01,0.6,P
31,9.44,59.35,15.85,9.31,24.36,37.52,32.33,0.05,0.04,0.07,0.05,0.78,-18.78,5.26,0.94,0.55,16.36,-23.25,0.5,-0.67,-3.53,0.39,0.53,-0.5,1.43,0.79,0.02,0.62,P
32,6.57,29.31,6.67,9.27,18.34,24.31,28.73,0.07,0.06,0.03,0.06,1.46,-2.88,21.7,0.69,0.63,8.6,25.38,0.58,1,10.15,0.53,0.56,-0.95,0.81,0.51,0.02,0.56,P
33,14.37,27.12,8.32,9.06,26.25,39.38,48.58,0.05,0.04,0.06,0.04,0.71,-2.9,4.54,1.15,0.59,3.33,4.31,0.52,-0.87,-0.14,0.42,0.58,-0.51,1.76,0.06,0.02,0.61,P
34,4.42,16.85,10.97,12.5,92.5,28.15,24.04,0.04,0.08,0.05,0.06,0.6,-1.89,9.2,0.67,0.6,4.52,-104.66,0.41,-2.03,6.95,0.41,0.56,-0.41,1.89,0.62,0.02,0.59,P
35,15.69,15.7,17.51,7.29,13.35,121.72,76.25,0.05,0.04,0.06,0.07,0.7,-3.98,-25.22,0.81,0.59,11.39,-263.27,0.55,1.02,15.2,0.59,0.55,-0.55,1.44,0.21,0.02,0.63,P
36,11.98,11.45,11.24,17,13.88,43.95,46.76,0.12,0.09,0.12,0.1,0.68,-1.1,4.27,0.89,0.58,1.86,-24.22,0.42,0.99,10.65,0.54,0.31,-0.37,1.65,0.18,0.02,0.62,P
37,13.95,56.07,8.04,102.2,23.78,232.9,449.7,0.03,0.08,0.03,0.05,0.46,-3.51,3.52,1.6,0.59,4.17,-23.82,0.49,-1.42,4.13,0.38,0.8,-0.38,0.57,0.34,0.01,0.63,P
38,11.87,32.95,6.59,9.62,28.07,27.69,28.4,0.05,0.13,0.13,0.13,1.52,-1.55,15.11,1.67,0.58,5.25,-2.59,0.38,0.01,-3.68,0.38,0.64,0.35,0.43,0.08,0.01,0.58,P
39,5.98,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.06,0.04,0.07,0.09,9.07,0.58,0.07,24.93,-0.93,0.28,1.27,0.51,0.49,0.52,1.16,0.47,0.22,0.02,0.62,P
40,6.04,20.34,7.12,12.58,12.03,23.77,19.82,0.04,0.05,0.05,0.07,3.74,-5.03,-6.47,0.59,0.6,-116.89,7.39,0.56,1.48,6.85,0.51,0.57,-1.24,0.93,0.58,0.02,0.63,P
41,5.88,11.2,10.86,11.49,13.93,33.57,33.01,0.05,0.14,0.13,0.1,1.21,-1.52,6.82,0.83,0.48,4.62,-15.58,0.44,-0.93,-0.55,0.42,0.58,-0.5,2.05,0.89,0.01,0.71,P
42,-0.71,44.55,10.02,8.2,36.61,21.51,22.33,0.04,0.04,0.07,0.07,0.86,-2.02,1.36,0.85,0.58,1.57,2.18,0.59,1.62,7.06,0.43,0.68,0.07,0.73,0.61,0.02,0.62,P
43,5.32,23.55,23.64,13.39,13.12,67.83,96.27,0.09,0.04,0.04,0.09,1.22,-7.21,151.69,0.52,0.58,53.28,-22.95,0.52,1.45,3.66,0.37,0.56,-0.56,1.35,0.29,0.01,0.64,P
44,5.33,21.56,12.97,10.88,77.91,48.75,90.05,0.04,0.03,0.25,0.08,0.48,-38110261522205568,3.21,1.05,0.56,10.97,-2.89,0.44,-1.07,-0.64,0.39,0.59,0.06,1.02,-0.33,0.01,0.48,P
45,6.69,259.26,8.5,213.76,25.28,466.67,369.57,0.06,0.04,0.03,0.04,0.27,-15.79,-15.28,0.48,0.49,-32.6,-3.43,0.51,-0.42,-2.26,0.4,0.51,-0.6,1.25,0.38,0.01,0.63,P
46,3.65,10.9,10.6,7.89,19.82,18.67,24.05,0.04,0.05,0.05,0.07,5.93,-1.48,7.97,0.91,0.6,4.69,4.03,0.5,-0.97,-0.52,0.29,0.6,-0.72,2.02,0.18,0.01,0.5,P
47,6.61,19.31,7.97,11.74,12.31,41.75,54.72,0.05,0.04,0.05,0.05,6.53,-4.2,2.64,1.11,0.63,4.15,5.86,0.54,1.62,1.94,0.47,0.52,-2.12,1.62,0.56,0.02,0.6,P
48,4.17,15.83,15.12,20.85,15.86,93.11,118.15,0.18,0.05,0.04,0.04,0.46,-9.69,3.19,1.25,0.58,4.76,16.82,0.46,-0.97,-0.07,0.41,0.51,-0.63,1.87,-0.02,0.01,0.62,P
49,6.03,17.13,7.4,8.75,16.8,87,24.54,0.03,0.13,0.13,0.13,0.78,13.89,1.69,0.66,0.43,8.76,-1.37,0.34,-0.89,0.92,0.3,0.5,0.54,0.64,0.23,0.02,0.6,P
50,5.82,259.26,333.33,333.33,259.26,466.67,466.67,0.12,0.04,0.08,0.1,0.19,11.03,37.22,0.23,0.53,16.88,-1.88,0.48,-0.25,-6.37,0.37,0.53,-0.01,1.18,0.81,0.01,0.6,P
51,-2.16,38.92,16.29,10.9,39.86,57.67,36.6,0.07,0.05,0.05,0.05,0.82,-6.47,25.45,0.92,0.51,22.82,-7.23,0.43,1.38,4.59,0.5,0.42,-0.52,1.66,0.38,0.02,0.54,P
52,14.83,118.75,7.2,11.63,25.36,26.03,29.39,0.05,0.13,0.13,0.13,0.81,-6.98,4.17,1.4,0.55,323.58,-0.73,0.22,-1.26,0.72,0.39,0.59,1.17,0.49,0.34,0.01,0.48,P
53,15.25,37.63,8.37,7.78,18.21,35.99,35.81,0.07,0.04,0.03,0.04,4.22,-1.36,4.01,1.58,0.56,2.54,3.88,0.59,3.23,8.61,0.42,0.65,-0.82,0.49,0.43,0.02,0.57,P
54,4.59,21.12,8.51,8.44,19.33,18.97,22.12,0.03,0.05,0.05,0.05,0.71,-4.41,4.7,0.93,0.54,5.05,-7.26,0.5,-1.13,1.37,0.4,0.48,-0.24,0.5,0.56,0.01,0.48,P
55,6.78,31.32,7.81,8.49,19.08,31.88,32.09,0.04,0.08,0.13,0.07,1.08,-8.18,2.33,0.81,0.54,5.81,67.17,0.48,-1.28,2.64,0.43,0.65,-0.87,1.11,0.55,0.02,0.63,P
56,3.01,13.55,9.99,10.01,8.06,20.44,24.27,0.15,0.08,0.33,0.11,1.5,-1.07,0.86,0.67,0.5,0.99,-10.84,0.26,-1.33,1.33,0.42,0.66,1.46,0.43,-0.45,0,0.15,P
57,5.05,21.81,9.58,6.74,14.24,39.22,47.88,0.08,0.04,0.09,0.08,1.06,36.98,31.58,0.54,0.56,-51.88,64.4,0.55,-1.19,3.41,0.41,0.51,-1.1,1.08,0.7,0.02,0.64,P
58,4.52,16.78,8.68,10.93,25.76,23.13,20.31,0.07,0.1,0.05,0.06,6.15,12.05,-6.81,0.34,0.6,-5.07,-2.63,0.54,0.67,18.27,0.63,0.56,-1.23,1.32,0.64,0.01,0.41,P
59,-0.98,38.22,7.88,8.74,10.54,35.61,43.02,0.05,0.09,0.1,0.07,0.92,-2.05,2.84,0.83,0.61,2.42,4.84,0.53,2.2,13.86,0.48,0.65,-0.34,1.59,0.57,0.02,0.61,P
60,-0.68,16.85,7.84,6.26,39.69,33.11,56.25,0.04,0.06,0.04,0.04,5.13,-2.57,3.45,0.97,0.59,4.01,4.19,0.55,-0.8,-2.96,0.33,0.56,-1.35,0.29,0.66,0.02,0.59,P
